time_iter,ELBO
0.0,-5091350.056101736
77.62792165171017,-2674263.6112363352
155.25584330342033,-2221000.405476545
232.88376495513052,-1905227.4506331466
310.51168660684067,-1692024.4316797014
388.1396082585508,-1529109.974442578
465.76752991026103,-1383115.770526419
543.3954515619712,-1239111.7019053
621.0233732136813,-1096344.1120994368
698.6512948653915,-973000.5977260501
776.2792165171016,-884707.8499469133
853.9071381688118,-838476.7768229973
931.5350598205221,-813455.48200195
1009.1629814722322,-795801.2234450831
1086.7909031239424,-782717.6759996956
1164.4188247756524,-773981.2529892297
1242.0467464273627,-767875.9205972776
1319.674668079073,-763530.5942556146
1397.302589730783,-760681.9529365805
1474.9305113824933,-758713.6132622471
1552.5584330342033,-757421.9658502224
1630.1863546859136,-756505.7931095375
1707.8142763376236,-755874.402144195
1785.4421979893339,-755426.5514718874
1863.0701196410441,-755018.7838972955
1940.6980412927542,-754678.3383614301
2018.3259629444644,-754441.9475605608
2095.9538845961747,-754263.7071233409
2173.5818062478847,-754084.7611543253
2251.209727899595,-753920.374534026
2328.837649551305,-753818.8496032975
2406.4655712030153,-753715.7178771347
2484.0934928547254,-753564.4527099286
2561.7214145064354,-753465.2534608205
2639.349336158146,-753381.494590922
2716.977257809856,-753284.2413347805
2794.605179461566,-753219.048637815
2872.233101113276,-753164.0145703709
2949.8610227649865,-753105.0864675537
3027.4889444166965,-753059.6114039161
3105.1168660684066,-753034.7299097246
3182.744787720117,-753008.6780812962
3260.372709371827,-752967.9580223253
3338.000631023537,-752947.7145659564
3415.628552675247,-752939.3164794196
