time_iter,ELBO
0.0,-5104927.618512701
74.46337767915988,-2673371.062415735
148.92675535831975,-2221218.799966745
223.39013303747964,-1906326.928193444
297.8535107166395,-1692965.395070501
372.31688839579937,-1528908.2954439763
446.7802660749593,-1383321.0202020209
521.2436437541191,-1239478.9509432209
595.707021433279,-1093238.407792895
670.1703991124389,-964045.3161531901
744.6337767915987,-880544.116807295
819.0971544707586,-836095.0697328658
893.5605321499186,-810563.6329118133
968.0239098290784,-792287.3984366835
1042.4872875082383,-780254.9630076045
1116.950665187398,-771759.9332503175
1191.414042866558,-765489.9584460615
1265.877420545718,-761503.0126467554
1340.3407982248777,-759143.7575352023
1414.8041759040377,-757548.9699857475
1489.2675535831975,-756517.3992782487
1563.7309312623574,-755715.2848301127
1638.1943089415172,-755084.8745559574
1712.6576866206772,-754442.1163990685
1787.1210642998371,-753871.0411095917
1861.584441978997,-753430.8807715218
1936.0478196581569,-753045.4691151176
2010.5111973373166,-752725.602826548
2084.9745750164766,-752512.3598721769
2159.4379526956363,-752289.4619536396
2233.901330374796,-752128.0561882724
2308.3647080539563,-751998.8605576928
2382.828085733116,-751905.7331286818
2457.291463412276,-751812.7018192552
2531.754841091436,-751735.4861177305
2606.2182187705957,-751673.6230191113
2680.6815964497555,-751586.3862654675
2755.1449741289152,-751525.364028752
2829.6083518080754,-751473.8954561459
2904.071729487235,-751416.9518688499
2978.535107166395,-751356.2871768841
3052.998484845555,-751324.786037919
3127.461862524715,-751294.1575438523
3201.9252402038746,-751271.802620273
3276.3886178830344,-751243.4821495694
3350.8519955621946,-751209.0412516634
3425.3153732413543,-751195.1217064401
3499.778750920514,-751168.3029995961
3574.2421285996743,-751135.7102830868
3648.705506278834,-751121.7933659728
3723.168883957994,-751107.8251223435
3797.6322616371535,-751094.9921419959
3872.0956393163137,-751069.0061730515
3946.5590169954735,-751030.9569739742
4021.0223946746332,-751028.4656738158
4095.485772353793,-751023.3443924758
4169.949150032953,-751006.0505699872
4244.412527712113,-750983.0269655342
4318.875905391273,-750965.1898086639
4393.339283070432,-750955.3256989431
4467.802660749592,-750944.7265206967
4542.266038428753,-750933.0441416415
4616.729416107913,-750931.641332197
4691.192793787072,-750931.3232824338
4765.656171466232,-750926.885974697
4840.119549145392,-750911.7316877857
4914.582926824552,-750903.0921679072
4989.046304503711,-750902.1483367895
5063.509682182872,-750893.0158821786
5137.973059862032,-750888.0653013363
5212.4364375411915,-750880.6716779438
5286.899815220351,-750871.3376693956
5361.363192899511,-750867.2676291086
5435.826570578671,-750861.5383860588
5510.2899482578305,-750861.687491348
5584.753325936991,-750856.6735816331
5659.216703616151,-750857.1170132508
5733.680081295311,-750854.6874918112
5808.14345897447,-750846.6640536024
5882.60683665363,-750837.1751375836
5957.07021433279,-750824.2400200064
6031.53359201195,-750816.5535312991
6105.99696969111,-750815.8818252183
6180.46034737027,-750813.6208242626
6254.92372504943,-750808.3214322058
6329.3871027285895,-750808.248808292
6403.850480407749,-750808.1694455425
6478.313858086909,-750808.0816277636
6552.777235766069,-750807.9831398344
6627.240613445229,-750807.871049053
6701.703991124389,-750807.7413767799
6776.167368803549,-750807.5885821957
6850.630746482709,-750807.4045523541
6925.094124161868,-750807.1763971398
6999.557501841028,-750806.8803934274
7074.020879520188,-750806.4607972485
7148.484257199349,-750805.7201556019
7222.947634878508,-750803.2027833336
7297.411012557668,-750798.2486498059
7371.874390236828,-750798.2292854739
7446.337767915988,-750798.2112120822
7520.801145595147,-750798.194298654
7595.264523274307,-750798.1784615777
7669.727900953467,-750798.1636246918
7744.1912786326275,-750798.1497249275
7818.654656311787,-750798.1367046635
7893.118033990947,-750798.1245183946
7967.581411670107,-750798.1131139945
8042.0447893492665,-750798.10245763
8116.508167028427,-750798.0925086987
